# freq, amb_real amb_imag hot_real hot_imag open_real open_imag short_real short_imag lna_real lna_imag
5.214843800000e+01 -1.794271697068e-03 1.643854446276e-04 3.540480796725e-03 2.835357697342e-03 6.412244734415e-01 6.790951834669e-01 -6.601145856611e-01 -6.791324877532e-01 6.234931177669e-03 6.388941556694e-03
5.219726600000e+01 -1.794082250566e-03 1.645701680105e-04 3.542578417140e-03 2.836166821060e-03 6.466125172336e-01 6.739832967929e-01 -6.655679411558e-01 -6.736901961330e-01 6.251193969173e-03 6.354170925936e-03
5.224609400000e+01 -1.793892805340e-03 1.647582113279e-04 3.544674853433e-03 2.836978788535e-03 6.519605591556e-01 6.688284039374e-01 -6.709757229382e-01 -6.682045742936e-01 6.267215079701e-03 6.319393546590e-03
5.229492200000e+01 -1.793703302957e-03 1.649492955419e-04 3.546770272436e-03 2.837793090481e-03 6.572682527629e-01 6.636308029394e-01 -6.763375938726e-01 -6.626760195106e-01 6.282996254807e-03 6.284610477863e-03
5.234375000000e+01 -1.793513687847e-03 1.651431538041e-04 3.548864831193e-03 2.838609241104e-03 6.625352537021e-01 6.583907948588e-01 -6.816532202700e-01 -6.571049313883e-01 6.298539223853e-03 6.249822769587e-03
5.239257800000e+01 -1.793323907240e-03 1.653395311258e-04 3.550958677242e-03 2.839426777453e-03 6.677612197397e-01 6.531086837575e-01 -6.869222719046e-01 -6.514917118349e-01 6.313845700235e-03 6.215031462266e-03
5.244140600000e+01 -1.793133911119e-03 1.655381840525e-04 3.553051948889e-03 2.840245258802e-03 6.729458107905e-01 6.477847766798e-01 -6.921444220287e-01 -6.458367650384e-01 6.328917381602e-03 6.180237587131e-03
5.249023400000e+01 -1.792943652164e-03 1.657388803450e-04 3.555144775485e-03 2.841064266026e-03 6.780886889453e-01 6.424193836320e-01 -6.973193473891e-01 -6.401404974417e-01 6.343755950071e-03 6.145442166183e-03
5.253906200000e+01 -1.792753085698e-03 1.659413986642e-04 3.557237277694e-03 2.841883400994e-03 6.831895184988e-01 6.370128175635e-01 -7.024467282417e-01 -6.344033177179e-01 6.358363072443e-03 6.110646212242e-03
5.258789100000e+01 -1.792562165723e-03 1.661455324588e-04 3.559329610606e-03 2.842702302741e-03 6.882480691381e-01 6.315652823664e-01 -7.075263519042e-01 -6.286255180059e-01 6.372740692517e-03 6.075850016398e-03
5.263671900000e+01 -1.792370860510e-03 1.663510729049e-04 3.561421792607e-03 2.843520579792e-03 6.932638024471e-01 6.260773199474e-01 -7.125576976349e-01 -6.228077480247e-01 6.386889858216e-03 6.041055998501e-03
5.268554700000e+01 -1.792179129090e-03 1.665578336974e-04 3.563513962729e-03 2.844337910230e-03 6.982364935276e-01 6.205491408165e-01 -7.175405608303e-01 -6.169503050722e-01 6.400812488428e-03 6.006264431503e-03
5.273437500000e+01 -1.791986936833e-03 1.667656340623e-04 3.565606209505e-03 2.845153974021e-03 7.031658157602e-01 6.149810694913e-01 -7.224746359373e-01 -6.110536064880e-01 6.414510190746e-03 5.971476291988e-03
5.278320300000e+01 -1.791794251488e-03 1.669743026332e-04 3.567698614066e-03 2.845968469236e-03 7.080514448631e-01 6.093734333304e-01 -7.273596209878e-01 -6.051180717140e-01 6.427984558464e-03 5.936692547598e-03
5.283203100000e+01 -1.791601043132e-03 1.671836771686e-04 3.569791250390e-03 2.846781111498e-03 7.128930589179e-01 6.037265625123e-01 -7.321952176136e-01 -5.991441222679e-01 6.441237170764e-03 5.901914157085e-03
5.288085900000e+01 -1.791407284118e-03 1.673936042732e-04 3.571884185543e-03 2.847591633443e-03 7.176903383952e-01 5.980407900145e-01 -7.369811310609e-01 -5.931321817166e-01 6.454269592911e-03 5.867142070353e-03
5.292968800000e+01 -1.791212945037e-03 1.676039434365e-04 3.573977522789e-03 2.848399800714e-03 7.224430630543e-01 5.923163339650e-01 -7.417171666829e-01 -5.870825513734e-01 6.467083636638e-03 5.832376516602e-03
5.297851600000e+01 -1.791018010598e-03 1.678145495248e-04 3.576071230334e-03 2.849205345289e-03 7.271507235457e-01 5.865537673515e-01 -7.464028430083e-01 -5.809959066192e-01 6.479680315104e-03 5.797619852169e-03
5.302734400000e+01 -1.790822455696e-03 1.680252983691e-04 3.578165398778e-03 2.850008064276e-03 7.318131054493e-01 5.807533145809e-01 -7.510379737168e-01 -5.748725534963e-01 6.492061417591e-03 5.762872288636e-03
5.307617200000e+01 -1.790626261273e-03 1.682360692811e-04 3.580260069868e-03 2.850807753156e-03 7.364298990411e-01 5.749153196149e-01 -7.556222786544e-01 -5.687129234992e-01 6.504228455534e-03 5.728134740985e-03
5.312500000000e+01 -1.790429410289e-03 1.684467491040e-04 3.582355279581e-03 2.851604221868e-03 7.410007971093e-01 5.690401291078e-01 -7.601554813513e-01 -5.625174500355e-01 6.516182927354e-03 5.693408115586e-03
